,Date,PMS,AGO,Kero,Price Per Barell,Exchange rates,Time,Exrates,Int Price in KSH,Local Price in KSH
41,14/05/2014,114.16,104.71,82.81,102.18,,2014-05-14,87.41161904761906,56.174334806828405,100.56
42,14/06/2014,114.73,104.81,83.13,105.79,,2014-06-14,87.61157500000002,58.29200326572329,100.89
43,14/07/2014,115.86,104.67,84.12,103.59,,2014-07-14,87.76923636363638,57.18248550257291,101.55
44,14/08/2014,116.62,102.98,83.05,96.54,,2014-08-14,88.10590476190477,53.49524557053011,100.88333333333334
45,14/09/2014,111.64,102.36,81.63,93.21,,2014-09-14,88.83591363636361,52.0779591826758,98.54333333333334
46,14/10/2014,110.89,100.67,80.88,84.4,,2014-10-14,89.23138695652176,47.36559156685809,97.48
47,14/11/2014,106.8,94.52,76.31,75.79,,2014-11-14,89.96309499999998,42.88240861666666,92.54333333333334
48,14/12/2014,102.01,90.85,71.37,59.29,,2014-12-14,90.44420999999998,33.72602019433961,88.07666666666667
49,14/01/2015,92.88,83.35,65.59,47.22,,2015-01-14,91.3583619047619,27.131709743036836,80.60666666666667
50,14/02/2015,84.71,75.52,52.4,50.58,,2015-02-14,91.48859,29.103728818867925,70.87666666666667
51,14/03/2015,89.46,76.2,55.75,47.82,,2015-03-14,91.72737272727274,27.587440024013723,73.80333333333333
52,14/04/2015,89.35,77.48,57.21,54.45,,2015-04-14,97.45521891891892,33.3738155354411,74.67999999999999
53,14/05/2015,92.89,79.34,59.24,59.27,,2015-05-14,96.38936,35.930801051572324,77.15666666666668
54,14/06/2015,97.28,83.31,61.78,59.82,,2015-06-14,97.70491428571428,36.759169638814015,80.79
55,14/07/2015,98.59,84.56,62.74,50.9,,2015-07-14,101.19820322580645,32.39615436599716,81.96333333333334
56,14/08/2015,102.65,83.35,57.98,42.87,,2015-08-14,102.43070952380951,27.617638473495052,81.32666666666667
57,14/09/2015,102.65,79.99,52.58,45.48,,2015-09-14,105.27481363636365,30.112569334476845,78.40666666666665
58,14/10/2015,93.29,83.43,56.04,46.22,,2015-10-14,102.79225714285715,29.8808687115903,77.58666666666667
59,14/11/2015,90.46,79.66,54.8,42.44,,2015-11-14,102.15213809523813,27.26626880982331,74.97333333333334
60,14/12/2015,90.06,78.51,53.2,37.19,,2015-12-14,102.18664090909093,23.90139104030875,73.92333333333333
61,14/01/2016,88.64,76.7,46.13,31.68,,2016-01-14,102.312765,20.385335818867922,70.49
62,14/02/2016,86.5,67.88,39.62,30.32,,2016-02-14,101.93165714285713,19.437533613656782,64.66666666666667
63,14/03/2016,85.58,65.7,42.15,37.55,,2016-03-14,101.48538571428574,23.96714612309075,64.47666666666667
64,14/04/2016,80.71,66.23,43.96,40.75,,2016-04-14,101.22843333333334,25.943765146750525,63.63333333333333
65,14/05/2016,84.25,70.37,46.98,46.71,,2016-05-14,100.73233809523808,29.59250007816711,67.2
66,14/06/2016,86.17,73.71,50.8,48.76,,2016-06-14,101.14463333333336,31.017687555555565,70.22666666666667
67,14/07/2016,93.93,83.24,61.45,44.65,,2016-07-14,101.331565,28.455687907232704,79.54
68,14/08/2016,95.13,84.51,62.48,44.72,,2016-08-14,101.41024347826088,28.522428228602685,80.70666666666666
69,14/09/2016,91.39,82.46,59.1,45.18,,2016-09-14,101.2711904761905,28.77630431266847,77.64999999999999
70,14/10/2016,91.56,82.12,58.71,49.78,,2016-10-14,101.32341,31.722511633962263,77.46333333333334
71,14/11/2016,94.94,82.17,62.16,45.66,,2016-11-14,101.7480818181818,29.21897745797598,79.75666666666667
72,14/12/2016,94.2,87.22,63.56,51.97,,2016-12-14,102.137815,33.38429085251572,81.66000000000001
73,14/01/2017,96.01,84.23,63.44,52.5,,2017-01-14,103.74683333333334,34.256029874213844,81.22666666666667
74,14/02/2017,100.2,89.26,67.19,53.47,,2017-02-14,103.64056190476192,34.853212861934715,85.55
75,14/03/2017,101.0,90.44,61.96,49.33,,2017-03-14,102.8481652173913,31.90880496964725,84.46666666666667
76,14/04/2017,98.0,88.62,64.38,51.06,,2017-04-14,103.32537777777777,33.18109301467506,83.66666666666667
77,14/05/2017,99.59,88.05,65.28,48.48,,2017-05-14,103.2617681818182,31.48509761921098,84.30666666666666
78,14/06/2017,98.73,86.89,65.35,45.18,,2017-06-14,103.49974761904762,29.409550927223723,83.65666666666667
79,14/07/2017,97.1,84.46,62.56,46.63,,2017-07-14,103.87710476190472,30.464084245582498,81.37333333333333
80,14/08/2017,96.08,85.86,63.42,48.04,,2017-08-14,103.55569999999996,31.28814986163521,81.78666666666668
81,14/09/2017,98.3,85.86,64.36,49.82,,2017-09-14,103.1279681818182,32.31343003030303,82.83999999999999
82,14/10/2017,101.6,88.71,66.18,51.58,,2017-10-14,103.40330499999996,33.54429227610061,85.49666666666667
83,14/11/2017,102.7,92.41,71.23,56.64,,2017-11-14,103.57120952380951,36.89480067565139,88.78000000000002
84,14/12/2017,104.1,92.44,71.42,57.88,,2017-12-14,103.09531666666668,37.52928885953879,89.32
85,14/01/2018,106.3,94.82,74.78,63.7,,2018-01-14,102.91798636363636,41.23192283876501,91.96666666666665
86,14/02/2018,107.92,96.96,76.75,,,2018-02-14,101.3888,,93.87666666666667
